q_values,LRT,AICC
1e-11,1.0,1.0
1.2045035402587836e-11,1.0,1.0
1.4508287784959372e-11,1.0,1.0
1.747528400007683e-11,1.0,1.0
2.1049041445120218e-11,1.0,1.0
2.5353644939701166e-11,1.0,1.0
3.0538555088334125e-11,1.0,1.0
3.6783797718286346e-11,1.0,1.0
4.430621457583887e-11,1.0,1.0
5.336699231206302e-11,1.0,1.0
6.428073117284319e-11,1.0,1.0
7.742636826811278e-11,1.0,1.0
9.32603346883218e-11,1.0,1.0
1.1233240329780265e-10,1.0,1.0
1.3530477745798075e-10,1.0,1.0
1.6297508346206467e-10,1.0,1.0
1.9630406500402684e-10,1.0,1.0
2.364489412645407e-10,1.0,1.0
2.848035868435805e-10,1.0,1.0
3.4304692863149264e-10,1.0,1.0
4.1320124001153345e-10,1.0,1.0
4.977023564332114e-10,1.0,1.0
5.994842503189421e-10,1.0,1.0
7.220809018385456e-10,1.0,1.0
8.697490026177835e-10,1.0,1.0
1.0476157527896662e-09,1.0,1.0
1.2618568830660185e-09,1.0,1.0
1.519911082952933e-09,1.0,1.0
1.8307382802953697e-09,1.0,1.0
2.205130739903041e-09,1.0,1.0
2.656087782946684e-09,1.0,1.0
3.1992671377973846e-09,1.0,1.0
3.853528593710535e-09,1.0,1.0
4.641588833612792e-09,1.0,1.0
5.590810182512222e-09,1.0,1.0
6.734150657750828e-09,1.0,1.0
8.11130830789689e-09,1.0,1.0
9.770099572992246e-09,1.0,1.0
1.176811952434999e-08,1.0,1.0
1.4174741629268077e-08,1.0,1.0
1.7073526474706922e-08,1.0,1.0
2.0565123083486514e-08,1.0,1.0
2.4770763559917138e-08,1.0,1.0
2.9836472402833406e-08,1.0,1.0
3.593813663804626e-08,1.0,1.0
4.328761281083061e-08,1.0,1.0
5.214008287999695e-08,1.0,1.0
6.28029144183426e-08,1.0,1.0
7.56463327554629e-08,1.0,1.0
9.111627561154905e-08,1.0,1.0
1.0974987654930567e-07,1.0,1.0
1.3219411484660315e-07,1.0,1.0
1.5922827933410937e-07,1.0,1.0
1.9179102616724887e-07,1.0,1.0
2.3101297000831628e-07,1.0,1.0
2.782559402207126e-07,1.0,1.0
3.3516026509388476e-07,1.0,1.0
4.037017258596558e-07,1.0,1.0
4.862601580065354e-07,1.0,1.0
5.857020818056673e-07,1.0,1.0
7.054802310718645e-07,1.0,1.0
8.497534359086456e-07,1.0,1.0
1.0235310218990268e-06,1.0,1.0
1.2328467394420685e-06,1.0,1.0
1.4849682622544665e-06,1.0,1.0
1.788649529057435e-06,1.0,1.0
2.1544346900318865e-06,1.0,1.0
2.5950242113997373e-06,1.0,1.0
3.1257158496882416e-06,1.0,1.0
3.764935806792471e-06,2.0,1.0
4.534878508128591e-06,2.0,1.0
5.4622772176843484e-06,2.0,1.0
6.579332246575683e-06,2.0,1.0
7.924828983539185e-06,2.0,1.0
9.545484566618346e-06,2.0,1.0
1.149756995397738e-05,2.0,1.0
1.3848863713938746e-05,2.0,1.0
1.6681005372000593e-05,2.0,1.0
2.0092330025650498e-05,2.0,1.0
2.4201282647943835e-05,2.0,1.0
2.9150530628251818e-05,2.0,1.0
3.511191734215135e-05,2.0,1.0
4.2292428743895077e-05,2.0,1.0
5.0941380148163855e-05,2.0,2.0
6.135907273413175e-05,2.0,2.0
7.39072203352579e-05,2.0,2.0
8.902150854450393e-05,2.0,2.0
0.00010722672220103253,2.0,2.0
0.00012915496650148855,2.0,2.0
0.00015556761439304754,2.0,2.0
0.00018738174228603868,2.0,2.0
0.00022570197196339215,2.0,2.0
0.00027185882427329457,2.0,2.0
0.00032745491628777317,2.0,2.0
0.0003944206059437664,2.0,2.0
0.0004750810162102803,2.0,2.0
0.0005722367659350221,2.0,2.0
0.0006892612104349709,2.0,2.0
0.0008302175681319752,2.0,2.0
0.001,2.0,2.0
